"","scenario","model","m","minVal","maxVal"
"1","hist","ACCESS1.0",17.6039687795139,15.8099661944444,19.1190168611111
"2","hist","CanESM2",17.6563085451389,15.9698783,19.1866132944444
"3","hist","CCSM4",17.7412482763889,15.9634992833333,19.6048906111111
"4","hist","CESM1.BGC",17.664456565625,16.0560607888889,18.9890119777778
"5","hist","CMCC.CMS",17.7484353387153,15.6671142555556,19.1984558111111
"6","hist","CNRM.CM5",17.6046299272569,16.1736763833333,19.0318595055556
"7","hist","GFDL.CM3",17.5745193159722,15.8161926277778,18.8005362611111
"8","hist","HadGEM2.CC",17.6317877234375,16.1188973333333,19.4932556166667
"9","hist","HadGEM2.ES",17.6647653842014,16.2985822888889,19.5501369888889
"10","hist","MIROC5",17.5309826269097,15.3772269333333,19.0932888444444
"11","hist","Observed",17.6409964427083,16.1593839833333,18.9663865833333
"12","rcp45","ACCESS1.0",20.427282687037,18.7864091666667,21.7752668611111
"13","rcp45","CanESM2",20.7842595138889,19.6761745888889,21.9605085611111
"14","rcp45","CCSM4",20.5017640851852,18.8614485,22.2081926111111
"15","rcp45","CESM1.BGC",20.1147451048148,18.4992641888889,21.3993242055556
"16","rcp45","CMCC.CMS",20.0629904005556,18.6780971944444,21.9842529277778
"17","rcp45","CNRM.CM5",19.734910752963,18.5195922833333,21.2416076666667
"18","rcp45","GFDL.CM3",21.200878002037,19.5670488166667,23.0297851555556
"19","rcp45","HadGEM2.CC",20.4854525812963,18.9826965333333,21.8531799333333
"20","rcp45","HadGEM2.ES",20.6202946412963,19.4718594,22.7273559555556
"21","rcp45","MIROC5",20.6417737888889,19.1638183611111,22.0079337222222
"22","rcp85","ACCESS1.0",21.3809204101852,19.5811759111111,23.0060111166667
"23","rcp85","CanESM2",21.5351313837037,19.2268668277778,23.1966230611111
"24","rcp85","CCSM4",21.0971804022222,19.8447587777778,22.2317504888889
"25","rcp85","CESM1.BGC",20.6730999416667,18.8382254722222,23.0403433888889
"26","rcp85","CMCC.CMS",20.5778825553704,18.0527326777778,22.81118605
"27","rcp85","CNRM.CM5",20.5618690207407,18.7942801555556,22.3794216555556
"28","rcp85","GFDL.CM3",21.803487707037,19.7203996444444,23.5961575
"29","rcp85","HadGEM2.CC",21.3086723048148,20.0434282111111,23.2384914833333
"30","rcp85","HadGEM2.ES",21.3844560694444,18.7171936055556,24.0954589833333
"31","rcp85","MIROC5",21.2025561864815,20.0860595722222,22.8950161388889
