"","scenario","model","meanCM","minVal","maxVal"
"1","hist","ACCESS1.0",27.5014907151744,15.70577136462,44.7837252406
"2","hist","CanESM2",27.314460390655,12.16875840818,43.0140958614
"3","hist","CCSM4",26.3760738807319,12.63191995328,44.8286151432
"4","hist","CESM1.BGC",26.6152533861794,15.84314223034,50.4265818746
"5","hist","CMCC.CMS",27.2701472182325,13.5564402988,44.5691821594
"6","hist","CNRM.CM5",27.1364490883725,20.17883630722,37.5580698164
"7","hist","GFDL.CM3",27.6928233805938,15.39088900988,40.4700506574
"8","hist","HadGEM2.CC",27.4522835037719,16.20174016948,39.0147258058
"9","hist","HadGEM2.ES",26.2224824905569,15.26205472348,47.5627001754
"10","hist","MIROC5",26.65074124121,19.40686600204,38.9791861766
"11","hist","Observed",27.7059582643919,17.83033532732,46.8229827318
"12","rcp45","ACCESS1.0",26.653924139086,15.2727128505,45.4998505546
"13","rcp45","CanESM2",32.708447147364,21.85282901968,49.9980063538
"14","rcp45","CCSM4",26.5491279236513,12.23204197732,40.4235134378
"15","rcp45","CESM1.BGC",29.2784115750553,19.54576644306,48.134862709
"16","rcp45","CMCC.CMS",25.3070106575733,14.5529843052,43.34632047
"17","rcp45","CNRM.CM5",31.838511789702,20.98209280586,49.9689993252
"18","rcp45","GFDL.CM3",26.9144777347333,16.39907315302,38.0109473968
"19","rcp45","HadGEM2.CC",29.430670951088,14.46265023136,39.5520140886
"20","rcp45","HadGEM2.ES",26.1262004799473,18.20651236262,35.7833349864
"21","rcp45","MIROC5",26.5291719167427,13.39966963444,47.599894767
"22","rcp85","ACCESS1.0",23.0953919845533,14.14235869008,33.1746757384
"23","rcp85","CanESM2",35.7810864481827,20.84946076734,53.9552685434
"24","rcp85","CCSM4",29.7392005169927,15.10525105436,49.3131184678
"25","rcp85","CESM1.BGC",28.907913750478,14.12127180058,43.399803472
"26","rcp85","CMCC.CMS",27.7752520876033,15.85149377828,40.8819881876
"27","rcp85","CNRM.CM5",29.843521651928,20.9558216646,44.2875723848
"28","rcp85","GFDL.CM3",28.1946032854753,19.58131905928,45.2675706534
"29","rcp85","HadGEM2.CC",31.2623887403587,14.82076161318,46.5032044534
"30","rcp85","HadGEM2.ES",27.3058863895573,15.52204415778,41.2950869804
"31","rcp85","MIROC5",25.673788512874,14.5005905949,39.771412964
